"","kba","domestic_timber"
"1353",6183,0
"1354",6184,0
"1355",6190,0
"1356",6195,0
"1357",6196,0
"1358",6197,0
"1359",6198,0
"1360",6199,0
"1361",6200,0
"1362",6201,0
"1363",6202,0
"1364",6203,0
"1365",6205,0
"1366",6207,0
"1367",6208,0
"1368",6211,0
"1369",6212,0
"1370",6216,0
"1371",6217,0
"1372",6218,0
"1373",6219,0
"1374",6220,0
"1375",6221,0.401200475256021
"1376",6222,0.0101416823679955
"1377",6223,7.11378999880105
"1378",6224,0
"1379",6225,0
"1380",6226,10.7397431350795
"1381",6227,0
"1382",6228,0
"1383",6229,0.0298066843440993
"1384",6230,1.05969217500647
"1385",6231,0
"1386",6232,0
"1387",6233,1.38376139016714
"1388",6234,0
"1389",6235,48.2527035408397
"1390",6236,4.44900348954973
"1391",6238,0
"1392",6239,9.21835344027252
"1393",6240,3.01217154295809
"1394",6241,0
"1395",6242,1.03145188856839
"1396",6245,2.56586182989591
"1397",6246,58.6928210510814
"1398",6247,25.6935174055795
"1399",6248,19.1965621683848
"1400",6249,15.292240354819
"1401",6250,226.834942512603
"1402",6252,13.531612940408
"1403",6253,1.77077293395996
"1404",6254,6.31987628260196
"1405",6255,0
"1406",6257,0
"1407",6258,0
"1408",6259,0
"1409",6260,0
"1410",6262,2.55646618968523
"1411",6263,0
"1412",6264,0
"1413",6265,0
"1414",6266,0
"1415",6267,0
"1416",6268,0
"1417",6270,10.2033785460017
"1418",6271,20.4456898106621
"1419",6272,2.63176202774048
"1420",6273,0
"1421",6274,66.4349872841294
"1422",6275,0
"1423",6276,97.1318277968971
"1424",6277,0
"1425",6278,1.63232790381503
"1426",6279,0
"1427",6281,1.40626683129237
"1428",6282,0.302128415141613
"1429",6283,1.87239797183634
"1430",6284,93.8460140718237
"1431",6285,2.46924696876639
"1432",6286,6.45683827886214
"1433",6287,0
"1434",6289,38.5710386853375
"1435",6291,11.1545583932738
"1436",6292,312.180691456383
"1437",6293,10.9946770921579
"1438",6294,76.7921405015918
"1439",6295,3.80339263049496
"1440",6297,55.6355114922164
"1441",6298,9.27627118920429
"1442",6299,4.63989872231055
"1443",6301,1.5783151518384
"1444",6302,2.84828992658769
"1445",6303,16.731213387837
"1446",6304,20.7082018672537
"1447",6305,3.06586492904321
"1448",6306,0.710297994846898
"1449",6307,0.489230252057996
"1450",6308,0
"1451",6309,0
"1452",6310,4.15422998599908
"1453",6335,2.54815095599887
"1454",6336,0.00758229400493374
"1455",6337,0
"1456",6338,1.23719577635964
"1457",6340,0
"1458",6342,0
"1459",6343,0
"1460",6344,0
"1461",6345,0
"1462",6346,0
"1463",6347,0
"1464",6348,0
"1465",6349,0
"1466",6350,0
"1467",6351,0
"1468",6352,0
"1469",6353,1.11693934969524
"1470",6354,0
"1471",6355,0
"1472",6356,0.0561019308210828
"1473",6357,1.90183980044691
"1474",6358,0
"1475",6359,0
"1476",6360,0.897266732047321
"1477",6361,0
"1478",6363,3.09000571881067
"1479",6364,0
"1480",6365,1.48235765256265
"1481",6366,0
"1482",6367,4.72917630385696
"1483",6368,0
"1484",6369,0
"1485",6371,0
"1486",6381,2.48274707419772
"1487",6382,9.24242359671439
"1488",6383,0.636923376145341
"1489",6384,0.0635958365710779
"1490",6385,9.57505948959925
"1491",6386,2.49737130011005
"1492",6387,0
"1493",6388,15.1816787486164
"1494",6389,1.19216524246915
"1495",6390,9.20893220448562
"1496",6391,56.1740497361387
"1497",6393,14.5000861735257
"1498",6394,0
"1499",6396,22.3308052986569
"1500",6398,0.555883300138768
"1501",6399,0
"1502",6400,0
"1503",6401,0
"1504",6402,0
"1505",6403,0
"1506",6404,0
"1507",6405,0.373018082855981
"1508",6406,0
"1509",6407,0
"1510",6408,0
"1511",6409,0
"1512",6414,4.35744824689422
"1513",6415,0.467762690398246
"1514",6416,0.626625191427445
"1515",6417,5.48579586815578
"1516",6418,1.1634893529243
"1517",6420,0
"1518",6421,7.10391649578144
"1519",6422,0
"1520",6423,0.0243032773715414
"1521",6424,0
"1522",6425,0
"1523",6426,0
"1524",6428,0
"1525",6430,0
"1526",6431,0
"1527",6432,1.63813763994937
"1528",6433,20.5972681083806
"1529",6440,45.7168172967011
"1530",6441,85.571233180345
"1531",6442,3.43510414201946
"1532",6443,7.31338291268361
"1533",6444,0
"1534",6445,0
"1535",6446,34.3233934077561
"1536",6447,0
"1537",6448,3.47861711518689
"1538",6450,0
"1539",6464,1.90066469308538
"1540",6465,10.2165189997006
"1541",6466,11.9570313008633
"1542",6467,2.16397820944225
"1543",6468,0.264194714987404
"1544",6469,1.358555961475
"1545",6476,0
"1546",6477,0
"1547",6508,0
"1548",6510,0
"1549",6519,0
"1550",6520,0
"1551",6521,0
"1552",6606,0
"1553",6607,1.07697198066936
"1554",6608,1.2429757691263
"1555",6609,0.20550376075585
